item_name,current_price,old_price_element,item_discount_element,item_link
Fashion Men's Shoes Formal Casual Shoes Shoes For Men,1195.0,1991.0,40.0,/fashion-mens-shoes-formal-casual-shoes-shoes-for-men-168658849.html
Fashion Mens Sneaker Causal Breathable Shoes Light Weight Walking Shoes,1000.0,2000.0,50.0,/fashion-mens-sneaker-causal-breathable-shoes-light-weight-walking-shoes-169380651.html
Fashion Men Shoes Loafers Casual Shoes Slip-On Shoes Business Shoes,699.0,1156.0,40.0,/fashion-men-shoes-loafers-casual-shoes-slip-on-shoes-business-shoes-58949240.html
Fashion  Men's Sneakers Breathable Sports Shoes Walking Style,699.0,1000.0,30.0,/fashion-mens-sneakers-breathable-sports-shoes-walking-style-173817929.html
Fashion Men's Casual Shoes Sneakers Sports Shoes,1199.0,1299.0,8.0,/fashion-mens-casual-shoes-sneakers-sports-shoes-141426581.html
Fashion Men Shoes Loafers Casual Shoes Male Shoes Slip-On Shoes Business Loafers,799.0,1743.0,54.0,/fashion-men-shoes-loafers-casual-shoes-male-shoes-slip-on-shoes-business-loafers-70180448.html
Fashion Men's Canvas Shoes Casual Shoes,1299.0,1880.0,31.0,/fashion-mens-canvas-shoes-casual-shoes-148846559.html
Fashion Men Shoes Loafers Casual Shoes Male Shoes Slip-On Shoes Classic Sneakers,899.0,1774.0,49.0,/fashion-men-shoes-loafers-casual-shoes-male-shoes-slip-on-shoes-classic-sneakers-69823336.html
C15 BASS Bluetooth Portable Speaker With FM/USB,1386.0,1600.0,13.0,/bluetooth-portable-speaker-with-fmusb-c15-mpg1795907.html
Fashion Mens Fashion Bracelets V8 Super Speed Mechanical Black Leather  Wrist Watches,560.0,923.0,39.0,/fashion-mens-fashion-bracelets-v8-super-speed-mechanical-black-leather-wrist-watches-45483632.html
Fashion Women Casual Breathable Sneakers,1286.0,2297.0,44.0,/fashion-women-casual-breathable-sneakers-167092986.html
"Amtec Sub Woofer Sound System-BT/USB/FM-8,000 WATTS-",4639.0,5500.0,16.0,/sub-woofer-sound-system-btusbfm-8000-watts-amtec-mpg576273.html
Mindy Secure Padlock Size Large 70mm,1650.0,2500.0,34.0,/mindy-secure-padlock-size-large-70mm-mindy-mpg219917.html
Istanbul Modern TV Stand With LED Lights,9999.0,14000.0,29.0,/generic-istanbul-modern-tv-stand-with-led-lights-111914052.html
"C Idea Adults Tablets, 10 Inches Android 12 Sim 8GB+512GB Storage Keyboard (Red)",13504.0,21134.0,36.0,/c-idea-adults-tablets-10-inches-android-12-sim-8gb512gb-storage-keyboard-red-160581068.html
"Vitron 43"" Inch  Smart Android  Bluetooth Connectivity Television, Inbuilt Decoder Netflix Youtube VGA HDMI USB+FREE BRACKET",22899.0,34999.0,35.0,/vitron-43-inch-smart-android-bluetooth-connectivity-television-inbuilt-decoder-netflix-youtube-vga-hdmi-usbfree-bracket-191428609.html
Dp 30 LED Rechargeable Emergency Lamp,775.0,1150.0,33.0,/30-led-rechargeable-emergency-lamp-dp-mpg597164.html
Fashion Women Black And White Matching Handbags Ladies Casual Shoulder Bag Commuter Bag,499.0,899.0,44.0,/fashion-women-black-and-white-matching-handbags-ladies-casual-shoulder-bag-commuter-bag-170339868.html
Wireless Bluetooth Headset Gaming Earphones Led Dispaly ,650.0,1000.0,35.0,/generic-wireless-bluetooth-headset-gaming-earphones-led-dispaly-169311275.html
Fashion Men Shoes Loafers Casual Shoes Slip-On Shoes Business Shoes,699.0,1156.0,40.0,/fashion-men-shoes-loafers-casual-shoes-slip-on-shoes-business-shoes-69816087.html
Fashion Unique Classic Men Laced Up Casual Canvas Sneaker Shoes- Brown,799.0,900.0,11.0,/fashion-unique-classic-men-laced-up-casual-canvas-sneaker-shoes-brown-150347457.html
Fashion Shoes Ladies Sneakers Women Shoes For Ladies,550.0,826.0,33.0,/fashion-shoes-ladies-sneakers-women-shoes-for-ladies-58975670.html
Full Touch Smart Watch Sport Health BT Call,1220.0,1930.0,37.0,/generic-full-touch-smart-watch-sport-health-bt-call-152070136.html
Fashion 4-Pack Unisex Round Neck Heavy Duty 180 GSM T-shirts.,1270.0,1500.0,15.0,/fashion-4-pack-unisex-round-neck-heavy-duty180-gsm-t-shirts.-185529542.html
Fashion Couple Heart Necklace,249.0,399.0,38.0,/fashion-couple-heart-necklace-152772693.html
Universal Women's Fashion Diagonal Shoulder Bag,899.0,1499.0,40.0,/universal-womens-fashion-diagonal-shoulder-bag-152579448.html
Fashion Fashionable Ladies Top Soft Light Fluffy Boots,1800.0,3000.0,40.0,/fashionable-ladies-top-soft-light-fluffy-boots-fashion-mpg344817.html
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black",5670.0,8059.0,30.0,/vitron-v636-3.1ch-multimedia-bluetooth-speaker-system-black-25652234.html
"MK TV Guard - Surge Protector,  + FREE Gift",650.0,700.0,7.0,/mk-tv-guard-surge-protector-free-gift-47911215.html
"Tecno T301; (Dual Sim),// Memory Card Slot//black",1790.0,2000.0,11.0,/t301-dual-sim-memory-card-slotblack-tecno-mpg1568337.html
Fashion 2pcs T-Shirt + Shorts Suit - Black,1121.0,1873.0,40.0,/fashion-2pcs-t-shirt-shorts-suit-black-70346233.html
25500-37200 Engine Coolant Thermostat for Hyundai Equus,1871.0,3219.0,42.0,/generic-25500-37200-engine-coolant-thermostat-for-hyundai-equus-107210599.html
IBC Ton Barrel Water Tank Valve Connector 20mm Elbow ,813.0,1479.0,45.0,/generic-ibc-ton-barrel-water-tank-valve-connector-20mm-elbow-103101158.html
915 Generation 1Pair Front Window Side Mirror Triangle Corner Garnish Cover for Hyundai Tucson IX35 2010-2017 86180-2S000 86190-2S000,4781.0,9083.0,47.0,/915-generation-1pair-front-window-side-mirror-triangle-corner-garnish-cover-for-hyundai-tucson-ix35-2010-2017-86180-2s000-86190-2s000-158525095.html
EBike Switch DK336 with QD168 Frontlight C-05C Taillight S,3429.0,6241.0,45.0,/generic-ebike-switch-dk336-with-qd168-frontlight-c-05c-taillight-s-139837517.html
Universal Car RCA USB Adapter Wireless Bluetooth ,454.0,827.0,45.0,/generic-universal-car-rca-usb-adapter-wireless-bluetooth-130869124.html
10Pcs 48X48cm Polyester Cloth Napkins for Restaurant,2399.0,4366.0,45.0,/generic-10pcs-48x48cm-polyester-cloth-napkins-for-restaurant-91431775.html
12C Trombone Mouthpiece Meg Metal Trumpet for Yamaha or,1824.0,3137.0,42.0,/generic-12c-trombone-mouthpiece-meg-metal-trumpet-for-yamaha-or-106297559.html
Kitchen Mixer Cord Organizer Space-Saving Aid Appliance,614.0,1117.0,45.0,/generic-kitchen-mixer-cord-organizer-space-saving-aid-appliance-91830344.html
PH-986 Multifunctional PH/TDS/Temperature Water Quality Pen,2890.0,5260.0,45.0,/generic-ph-986-multifunctional-phtdstemperature-water-quality-pen-139843764.html
Push to Connect Fittings Air Line Pneumatic Fittings Kit 28,929.0,1692.0,45.0,/generic-push-to-connect-fittings-air-line-pneumatic-fittings-kit-28-103399973.html
100 Pieces WS2812B WS2812 LED Chip & Heatsink 5V 5050 RGB,1405.0,2418.0,42.0,/generic-100-pieces-ws2812b-ws2812-led-chip-heatsink-5v-5050-rgb-106299363.html
"Napkin Ring, 6-Piece Metal Napkin Holder, Party Dinner",835.0,1435.0,42.0,/generic-napkin-ring-6-piece-metal-napkin-holder-party-dinner-106725246.html
ECU Control Unit DC-DC Converter for Mazda CX3 CX4 CX5 CX8,6001.0,10922.0,45.0,/generic-ecu-control-unit-dc-dc-converter-for-mazda-cx3-cx4-cx5-cx8-109229521.html
Electric Bike Motor Controller 36V/48V 350W12 Tube,2932.0,4543.0,35.0,/generic-electric-bike-motor-controller-36v48v-350w12-tube-90324390.html
